,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score
0,0.0009479369570898382,0.0838900240377279,5.0155697608429536e-05,0.04433395495012676,0.10698321575750397,0.019417730543365992,0.0081364778416263,0.02949600042438756,0.16091655443863317,513.5614423783381,813,513.5614423783381
1,0.0009476467339539511,0.08389228868016575,5.024828889189849e-05,0.04431861617937347,0.10691818111811607,0.019428817115332776,0.008132492138476485,0.029494138347310316,0.16092072833835272,513.5611318701311,623,513.5611318701311
2,0.0009475452769058953,0.08389496083645591,5.0252112008706366e-05,0.04431798433656864,0.10691812757282623,0.01942808336258771,0.008132789481912924,0.02949460393076858,0.16092085778706658,513.5611216502406,730,513.5611216502406
3,0.0009495079293938195,0.08382133639557585,5.029539822115614e-05,0.04431095315025349,0.10692047711387144,0.019425119646976966,0.008131931829255819,0.029493606013424555,0.16093075773050391,513.5614442851814,977,513.5614442851814
4,0.0009479713351055451,0.08389157924007923,5.018283392894619e-05,0.044329288000676814,0.1069856812227496,0.01941736816917469,0.008136699509067175,0.029495888664383334,0.16091990202377943,513.5613768974366,1091,513.5613768974366
5,0.000947509411910789,0.08391297055853238,5.019442436396554e-05,0.04432736317560885,0.10698192048980854,0.01941859906865221,0.00813659548816251,0.029495712916144747,0.16091826800219064,513.5613647747127,620,513.5613647747127
6,0.0009488224394490102,0.08385378164525784,5.032500252562915e-05,0.04430594012060667,0.10691980131857157,0.0194250212846965,0.008131984542767926,0.029494887910536213,0.1609318584902065,513.5613945762774,1019,513.5613945762774
7,0.0009477330478272794,0.08389092614621327,5.026372599047648e-05,0.04431601275325543,0.10691839542902258,0.01942872819521855,0.00813240908636757,0.02949431018360996,0.16092236317001582,513.5611413452559,778,513.5611413452559
8,0.0009463310330006441,0.0839419551594611,5.020930571019769e-05,0.04432506208401543,0.10691788711309909,0.019430526135383982,0.008133143109423828,0.029493461017448472,0.160915372054455,513.5613049209866,759,513.5613049209866
9,0.0009478328251513865,0.08390303092842771,5.018981983259858e-05,0.04432824289169204,0.10698855512525557,0.019416868641257044,0.008136550159955791,0.0294958461796026,0.16092131372491697,513.5613771253494,661,513.5613771253494
10,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.16092596408499404,,813,
11,0.018640715397947257,0.01169693415930278,2.8044215977447655e-05,5.129996273241592e-07,3.271386189567368e-05,7.473944745094474e-07,1.8979370273065643e-06,3.0385447484976064e-06,0.16092596408499404,,623,
12,3.176350270753625e-07,9.443349924136607e-05,0.00042240258190003293,6.749495293807186e-05,5.258853873894818e-05,0.0003111245484183319,0.03553116164468893,4.465795189704165e-05,0.16092596408499404,,730,
13,0.029791328053373523,9.660256432445483e-07,0.0011080404466573305,0.00048803083501067066,0.0009570259484141237,0.06573248156834904,0.00066316726560505,0.0021575211864608337,0.16092596408499404,,977,
14,0.00031573666767290275,0.0002324270211963091,0.0003127738031863259,0.0014186653629025268,2.2181878119092858e-05,0.002190312942664691,1.6404932402492323e-05,2.046382588459826e-06,0.16092596408499404,,1091,
15,3.9151562862021143e-05,1.5333232499000862e-06,0.0025282271307261466,2.0255954969485783e-07,5.512535104952726e-07,0.005991544485427769,2.5164566224695408e-05,0.0037970296204318404,0.16092596408499404,,620,
16,9.041344482577553e-07,8.786786164544798e-05,2.4533197687378534e-06,0.0002480572841961882,0.010776998426510597,1.5031720610105811e-05,4.999387615164528e-06,2.3058382118763316e-07,0.16092596408499404,,1019,
17,0.0028212406802667575,7.436534761936292e-06,0.017539296898971924,3.127686852099533e-06,8.876052508060393e-07,0.0004998922793261597,0.016782114924229187,1.2762724516873495e-06,0.16092596408499404,,778,
18,0.00024730415912129275,2.5874887017524204e-06,0.0020250687716419783,0.05018983113186444,5.00666585872073e-07,6.642196907606356e-06,0.04430982224889841,0.00023577168027506018,0.16092596408499404,,759,
19,0.06396678525125478,1.958262779249737e-06,0.0020901258267224452,7.607872928892862e-05,0.0026122438065995144,0.00011404682310030928,0.01107896681319471,0.0021971304766524626,0.16092596408499404,,661,
