,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score,well,protocol
748,0.04618920454363329,0.0627078376793869,0.02368505939039477,0.021873825220605415,0.011919267927502059,0.006494448128104354,0.032668071401956024,0.0364235067966552,0.01375964515211728,0.038534853517512395,0.09081193630905413,0.02341207711234817,6.882379212971473e-05,0.04179209183344788,0.15238659058875545,138.60315451002916,1458,138.60315451002916,9,sis
749,0.04734182856885671,0.0630357442183619,0.023726285152726085,0.022177136481769923,0.011724406004901758,0.006494325072568419,0.032667744712453074,0.03603695045761336,0.013705219657364917,0.038299887627525994,0.09081533328035181,0.023411454084757737,6.892756593986791e-05,0.04178074971513405,0.15239500082337648,138.60305275454908,1796,138.60305275454908,9,sis
750,0.006807895433315995,1.5038266885890834e-07,0.003011989021234291,4.678755026331075e-05,0.00021292839447727735,0.0009895686892035516,0.09649613524567063,0.004221158128167433,0.0001863995636788274,2.1326216367781903e-07,0.0004148065683293426,0.028994092245689277,1.1345386608050097e-06,0.014795747835188226,0.1524,,926,,9,sis
751,0.09978866223691008,5.078757126960657e-06,0.0006099791889259135,0.0001181355940214078,0.0391717674069303,0.036320252431438875,0.005418907367893222,0.05094546548754768,0.008560183344944785,4.670139141638272e-06,3.6725920374086445e-05,1.48847864948831e-06,6.605222867631027e-05,3.551246750568194e-06,0.1524,,1597,,9,sis
752,7.583592881333256e-07,0.00015482570759770502,0.09327583587992666,0.0004428794222963583,6.335109696258154e-07,1.2950851751063177e-05,7.575392482416253e-05,0.006750495242258394,0.022327806170205005,2.2251388933108313e-07,0.021349482849765105,1.5551198634535246e-07,0.018787545596500043,4.575841941385041e-07,0.1524,,1037,,9,sis
753,4.5072335973398955e-05,2.936996854208496e-06,0.00642849696252194,4.343487225297591e-06,0.006245755634936032,1.862561441890457e-06,0.015852224334346198,0.0007253376796398223,0.02973278022118207,0.00023693849936960894,1.358501186332451e-06,1.2270573429506213e-05,0.0001462404808234605,7.224213930360263e-07,0.1524,,1902,,9,sis
754,0.00016227555489269183,4.721660066443566e-06,0.0012516178211472288,2.6207048680565338e-05,0.002685824725999209,0.060333344842522195,0.006777925536852347,3.822440495478412e-05,1.761259740848314e-07,0.024297064684524076,9.51188173886117e-05,3.302909927976508e-05,6.212505847048045e-07,4.5838104997815063e-07,0.1524,,1204,,9,sis
755,0.0012368171926293837,0.00047992844059810045,0.0006176794892320564,0.005501774663201962,0.0012277209757627602,0.00015134777416217957,2.50285952738565e-05,4.271701540351584e-05,0.02022389743009178,3.5997320464708346e-05,6.5109366362317145e-06,5.13670280449932e-05,0.007278547896634112,0.010836219178156425,0.1524,,1307,,9,sis
756,0.008855005002846182,7.693664002401835e-07,2.354838333101927e-06,0.04863549824345755,1.2813527721214861e-07,6.859800924481686e-05,1.7370564103963636e-05,0.0022594518543354934,0.028882733570157165,0.00015985409035389252,0.008446893431556869,1.941460315047625e-07,2.291926789837526e-05,0.0009290843525950749,0.1524,,1050,,9,sis
757,5.504095195581732e-05,3.0505854065108026e-06,7.687683661001348e-06,0.014589578262526536,0.009919191020268066,0.08313305741547017,9.706118866054224e-05,0.00011356907982341837,0.00021387587328436085,1.0044860651344645e-05,0.00011743243564930271,0.0009467410284713559,0.09221321391656341,6.397700452982333e-07,0.1524,,1000,,9,sis
758,9.732785720406963e-05,6.153449997949624e-07,0.025936420190212275,3.3097293818674555e-05,5.25395908533987e-05,0.06089121064401385,6.765592290812073e-07,7.588868899595374e-06,8.80218406016971e-06,8.794735662362247e-05,0.00040305497659126247,3.3039338237643975e-05,0.0945584023570504,2.5094283191617735e-06,0.1524,,1458,,9,sis
759,1.7253905045538757e-07,3.4275902459851884e-05,0.0007170241998929342,0.0003500479273448623,1.0742610503272222e-06,5.7402385317158805e-05,1.0101383086225772e-06,0.000314256523058729,0.011015918388007114,3.7756772479266365e-06,5.50472825292954e-06,1.901195870769304e-06,2.523693960297686e-07,0.08100128093749502,0.1524,,1796,,9,sis
760,0.0462542691783025,0.06658479702316471,0.023469123216548128,0.02482735203165343,0.009419197209432779,0.006486755975202601,0.032685395585599866,0.037382040842375445,0.012986160397784864,0.03955261776098524,0.09062191024847825,0.023409682220646322,6.823103171132723e-05,0.041849568174473835,0.15231068497912711,75.19597504334962,1290,75.19597504334962,7,longap
761,0.0463412185469286,0.06647803906800276,0.02348662481982928,0.02478626624880437,0.009434560482924233,0.006486966035307017,0.03268495656632402,0.03735910348981122,0.013000868083565337,0.03952955291433249,0.09062647120748774,0.023409227518698117,6.82456816249977e-05,0.04184791824298896,0.1523116049548959,75.19596820596045,1440,75.19596820596045,7,longap
762,0.04586186379624277,0.06608858119908313,0.023436544416116676,0.024432348673760693,0.009650233003370031,0.006487268327738321,0.03268408511022587,0.03749609943039643,0.01311971918253643,0.03960447454782797,0.09063211096396992,0.023409205208290703,6.82691047486504e-05,0.041845008952946336,0.1523126199051936,75.19607699816609,1421,75.19607699816609,7,longap
763,0.0462762450767581,0.06637630620084993,0.02348918031280744,0.024708726278882466,0.00948460654491767,0.0064869564299153155,0.03268471328172119,0.03738768231298725,0.0130251944232126,0.03952542689880003,0.09062674367164755,0.02340930665676962,6.825192781005671e-05,0.04184722459110631,0.15231208605458826,75.19597492508241,1167,75.19597492508241,7,longap
764,0.04650757800311307,0.0664563861557431,0.02351667774406705,0.02479984360066061,0.00941799370109448,0.006486935336480571,0.03268477682556216,0.037339735595475966,0.013001524495867348,0.039480785954285065,0.09062762205268873,0.023408973969700975,6.825584077984912e-05,0.041846861870286294,0.15231265826638668,75.19598179359842,2191,75.19598179359842,7,longap
765,0.04627279547979946,0.06638141723257111,0.023489661866034642,0.024702449163718537,0.009490457079491994,0.006486977783530509,0.03268482019196965,0.03739093687104613,0.01302683454015731,0.03952200148588683,0.09062673876386654,0.023409055158052316,6.825356129979915e-05,0.04184705078088558,0.15231218761133333,75.19597450887593,1428,75.19597450887593,7,longap
