,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score,well,protocol
0,0.04575093619141639,0.06281673135315333,0.0236673703296542,0.022196039995309624,0.011982080218508934,0.006497207108335575,0.0326821432843624,0.0370217957141081,0.013668870116687371,0.03843492259450976,0.09081844827178526,0.023398603575907093,6.873780214972344e-05,0.04179731909551754,0.15237553830341055,297.44265732757196,1341,297.44265732757196,6,hhbrute3gstep
1,0.04670363791227576,0.06295625256094453,0.023871640303744373,0.02233995580176314,0.011719413817326343,0.006494974172351271,0.032682122052804706,0.03720572172614694,0.013727416494021025,0.038228541432153394,0.09080715932102307,0.023390417733309393,6.883109644219838e-05,0.041786844951063114,0.15240668729974688,296.2525044823094,1172,296.2525044823094,2,hhbrute3gstep
2,0.04776145274413308,0.06330689286662473,0.023767856536789297,0.022532471935897053,0.01160187360296724,0.006503841942931353,0.032671451243524,0.03659753180409934,0.013731631120161717,0.038088651626208066,0.09089135564190513,0.023386978781572646,6.894422601371781e-05,0.04177592008712328,0.15241462878661352,297.592800917068,1428,297.592800917068,1,hhbrute3gstep
3,0.046906578705266606,0.06287071121652137,0.023592575585021713,0.022193749439311076,0.012057028403697285,0.006502341012459732,0.03266860503686256,0.03605249334034648,0.013682727170881035,0.03821309049151555,0.09092540148155989,0.023387165419855922,6.901915384989159e-05,0.04176864629841036,0.1524467496796488,294.8287065056001,1293,294.8287065056001,7,hhbrute3gstep
4,0.04579963479352765,0.06262757250443868,0.023666253941295626,0.021565999378758787,0.012168247530530302,0.0064962083164221245,0.03268157637391432,0.037359046669784415,0.014128797331780636,0.038258062728432,0.09081864243647296,0.02338975285380878,6.903588978020404e-05,0.041765435438653215,0.15242228909946232,295.0937481152776,1487,295.0937481152776,0,hhbrute3gstep
5,0.0475212121666323,0.06314368833945111,0.023603240356879645,0.022542472898565744,0.011695260868958404,0.006501760284202523,0.03266993466983463,0.03658729930649365,0.013786691039559708,0.038214923255495005,0.09086876389922,0.02339110693258596,6.89098068515982e-05,0.04177925780176498,0.15241128802359233,296.37404720790397,1374,296.37404720790397,3,hhbrute3gstep
6,0.04797289087181955,0.06357854451905731,0.023702092739837772,0.022992849460516423,0.01112813819173873,0.006496530526085281,0.032680831943467416,0.03660827657369074,0.013607370612388496,0.038407837101479624,0.09080500434567841,0.02339885525634983,6.881817211723658e-05,0.04178752439737611,0.1523773209502221,296.539848692326,1753,296.539848692326,5,hhbrute3gstep
7,0.047102949663795156,0.06307747389403341,0.02359797999527567,0.02253117845944238,0.011658581470154614,0.006501765662978271,0.032684800858162916,0.03645745929115173,0.01364645011513986,0.038415823600143,0.09088484802917095,0.02338451120444889,6.88996176088622e-05,0.041778854752115985,0.1524255916987899,295.5628868278103,1515,295.5628868278103,9,hhbrute3gstep
8,0.04631009287075939,0.06284923898910834,0.02380274676869155,0.021756939589242588,0.012121138748573203,0.006498598378997377,0.03268026732303639,0.036696967839949565,0.013845237220312848,0.03806596627335077,0.09082184722965843,0.02338136394620027,6.893720373476114e-05,0.04177534940116164,0.15239022292613658,297.2096511314803,1658,297.2096511314803,8,hhbrute3gstep
9,0.04703310430384105,0.0629117063537791,0.023738946511529312,0.022183257186131223,0.011817246079211627,0.006499667033321261,0.03267600653411951,0.03701005675644001,0.013920998839854771,0.03818863834437496,0.09083788795591226,0.023391254375109714,6.897973377698529e-05,0.04176923022351617,0.152390089696266,295.2117348990152,1650,295.2117348990152,4,hhbrute3gstep
