,well,fitting_protocol,validation_protocol,score,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,protocol
0,6,sis,hhbrute3gstep,0.03121982368902496,0.045732401082135395,0.06293736183725125,0.02403089136068179,0.02231700480497199,0.011491091079628344,0.006498274090499645,0.032670579427998,0.03743977994671322,0.013495351498730119,0.03879218591484689,0.09080714049694613,0.023394913140656007,6.841259669584065e-05,0.04183862104541362,0.15238786119242778,0.03121982368902496,hhbrute3gstep
1,2,staircaseramp1,hhbrute3gstep,0.031100071380043517,0.04684735479366291,0.0627430011797412,0.023702166365097015,0.02144397973094062,0.011543032585196634,0.006508003453675727,0.03266279720961074,0.038235233330650584,0.014743106743403001,0.03851962774788057,0.09093937843550846,0.023415792024420342,6.887777637381532e-05,0.04177501012249573,0.15234097807334684,0.031100071380043517,hhbrute3gstep
2,1,longap,hhbrute3gstep,0.030962793830922153,0.04710788646848556,0.06355202965222445,0.024421490303026018,0.022318601825271952,0.012305153016949677,0.006484251301969379,0.03270650413503341,0.03749079377603936,0.013482770124396934,0.037201460249988466,0.09050269490207126,0.023429767541615496,6.888522777478295e-05,0.04178072545717916,0.15234773035026578,0.030962793830922153,hhbrute3gstep
3,7,longap,hhbrute3gstep,0.031043341526096422,0.0463412185469286,0.06647803906800276,0.02348662481982928,0.02478626624880437,0.009434560482924233,0.006486966035307017,0.03268495656632402,0.03735910348981122,0.013000868083565337,0.03952955291433249,0.09062647120748774,0.023409227518698117,6.82456816249977e-05,0.04184791824298896,0.1523116049548959,0.031043341526096422,hhbrute3gstep
4,0,hhbrute3gstep,hhbrute3gstep,0.03113712931935294,0.04579963479352765,0.06262757250443868,0.023666253941295626,0.021565999378758787,0.012168247530530302,0.0064962083164221245,0.03268157637391432,0.037359046669784415,0.014128797331780636,0.038258062728432,0.09081864243647296,0.02338975285380878,6.903588978020404e-05,0.041765435438653215,0.15242228909946232,0.03113712931935294,hhbrute3gstep
5,3,spacefill19,hhbrute3gstep,0.03112425991855724,0.04561544604184687,0.06296325072797447,0.023744810911553213,0.02188500663772137,0.012233143402739788,0.006499736939048706,0.03267788328717828,0.03662805690108402,0.0137132117272112,0.0381047003837036,0.09084139570197426,0.023389882194218805,6.89164513430686e-05,0.04177863891297065,0.15239877392725557,0.03112425991855724,hhbrute3gstep
6,5,staircaseramp1,hhbrute3gstep,0.031171738481288257,0.04436144315683072,0.06241953888610201,0.023479452623965162,0.021674008083161476,0.012011890903366683,0.0064854348304032175,0.03268298336585605,0.03791680373910801,0.0140127157802493,0.03891227032557499,0.09063764640770347,0.02340041018081725,6.869638580570194e-05,0.041804072351066875,0.1523822034701707,0.031171738481288257,hhbrute3gstep
7,9,longap,hhbrute3gstep,0.030996386263798078,0.04866641306698419,0.06243401592256296,0.02392256776531923,0.02287515653939738,0.011425616406300654,0.006497936216308539,0.03268490707770721,0.03613872151777271,0.013557278631989196,0.037983160702673664,0.09083385604241326,0.023406634039396003,6.88410396108784e-05,0.04179074880822639,0.15237170187358412,0.030996386263798078,hhbrute3gstep
8,8,staircaseramp1,hhbrute3gstep,0.031169644946091386,0.04586303821724644,0.06223553979164984,0.02332923482904276,0.021659421652351026,0.01113992604724662,0.006497330525249249,0.03268428553367821,0.036127720572286165,0.013941206950802804,0.03975215450412052,0.09081281369961841,0.023390684055415074,6.865068124805813e-05,0.04180707563408933,0.15236355443281432,0.031169644946091386,hhbrute3gstep
9,4,longap,hhbrute3gstep,0.03105144151531451,0.04619220149742586,0.06578271902574746,0.02369954971189035,0.02499593719801378,0.009117953572357772,0.006485935417699997,0.032690053985164655,0.03735251876465522,0.012906703573160169,0.03944184326892286,0.09065511895241404,0.023401479893582114,6.843104184203665e-05,0.04183088210333134,0.15236832426163402,0.03105144151531451,hhbrute3gstep
10,6,wangbrute3gstep,longap,0.031214184342052868,0.04749444505952872,0.06323625330402609,0.023725272900493546,0.02263489418094101,0.011668209099370585,0.006496347084733195,0.03268326458238205,0.036761446940796944,0.013687983865698585,0.03819283552017145,0.09076116582374275,0.023381893424552182,6.887112773187904e-05,0.04178147876678103,0.1523816107241522,0.031214184342052868,longap
11,2,sis,longap,0.031360745502774234,0.04842388864132828,0.06277506361181426,0.02374547669984372,0.02132808804385828,0.011713750945288294,0.006495536634699609,0.03266877961358888,0.03648348944712592,0.014594564231486733,0.03818317585217016,0.09082590324158564,0.023412292332063316,6.937955231454744e-05,0.04172159737769923,0.15238348103872276,0.031360745502774234,longap
12,1,sis,longap,0.03136974916717072,0.049232251468836696,0.06363736062343398,0.02389967570544359,0.0231250079138859,0.01168010523764943,0.006496786789097388,0.03268256549097905,0.035510820768839414,0.013304560813314194,0.037585533062561786,0.09082637585470016,0.023385732423480028,6.913886817417353e-05,0.041757063408358906,0.15242995945800006,0.03136974916717072,longap
13,7,staircaseramp1,longap,0.03122061291542878,0.05015488690584722,0.06267467184770528,0.02230206040977839,0.022705586791590716,0.011081969575317947,0.0065019680686136515,0.03267251761253337,0.033465145661887186,0.014154127644361249,0.039293708901542934,0.09089209081030691,0.023383014221738007,6.93475181297244e-05,0.04172511489170454,0.15241287850707189,0.03122061291542878,longap
14,0,staircaseramp1,longap,0.031185862137945237,0.05287339402186573,0.06389571423101127,0.023206911541767676,0.02367385166055157,0.010743709149274612,0.006500602403789098,0.03265344386861548,0.033217450849968085,0.013495874467503229,0.038053562319687685,0.09093864372706197,0.023395398495050693,6.945461619197809e-05,0.0417223042727047,0.15251841318092438,0.031185862137945237,longap
15,3,spacefill19,longap,0.0313910461999252,0.04561544604184687,0.06296325072797447,0.023744810911553213,0.02188500663772137,0.012233143402739788,0.006499736939048706,0.03267788328717828,0.03662805690108402,0.0137132117272112,0.0381047003837036,0.09084139570197426,0.023389882194218805,6.89164513430686e-05,0.04177863891297065,0.15239877392725557,0.0313910461999252,longap
16,5,spacefill19,longap,0.03112225731463304,0.04543676238918926,0.06324612588968898,0.023612422040620414,0.02177340149348874,0.012450293244528584,0.006500522202544281,0.03266549491636877,0.036961448164026606,0.01387264047369529,0.03811809214258937,0.0908420014054772,0.02338529564907679,6.899162820823741e-05,0.04177080498263045,0.15242056818544816,0.03112225731463304,longap
17,9,sis,longap,0.03145796972795627,0.04660466434377002,0.06271267632128755,0.023732021023717104,0.021691190502374266,0.012152180787809878,0.0064940505043063704,0.03266773029910576,0.03637079197143203,0.013910797630129326,0.03816688890338009,0.0908142251754331,0.02341081810985863,6.900800966004596e-05,0.04177172788004159,0.15239756202203586,0.03145796972795627,longap
18,8,sis,longap,0.03138249622017092,0.04584306071902721,0.06282346945302546,0.02397493990722103,0.021552932780250174,0.012668105644511084,0.00649426131694147,0.03268729043922714,0.037820644149862886,0.014087475421175236,0.03738567405654521,0.09077619632398946,0.023384908096051694,6.910670692795355e-05,0.04175504173976449,0.15238353294022314,0.03138249622017092,longap
19,4,spacefill19,longap,0.031304968158621146,0.047561618407279696,0.06323824840493676,0.023841336318751093,0.022483420120393324,0.011727375636998126,0.006498697352632279,0.03268775135600936,0.03679327445140059,0.01380753336603116,0.03789301956324361,0.09086166809081189,0.0233803889344159,6.911105825937333e-05,0.04175428802932051,0.1524046918034406,0.031304968158621146,longap
20,6,sis,sis,0.030983384445792822,0.045732401082135395,0.06293736183725125,0.02403089136068179,0.02231700480497199,0.011491091079628344,0.006498274090499645,0.032670579427998,0.03743977994671322,0.013495351498730119,0.03879218591484689,0.09080714049694613,0.023394913140656007,6.841259669584065e-05,0.04183862104541362,0.15238786119242778,0.030983384445792822,sis
21,2,wangbrute3gstep,sis,0.0310396655917452,0.04582704999422511,0.06263139939926372,0.02359043339652455,0.02189565018842096,0.012132159268333125,0.006500593197633901,0.032670691197891524,0.0370742350787529,0.01392251554426458,0.03839761521584978,0.09085112824573349,0.023390420890196783,6.878592976944359e-05,0.04179380874476429,0.15241439672402718,0.0310396655917452,sis
22,1,longap,sis,0.030826295816360795,0.04710788646848556,0.06355202965222445,0.024421490303026018,0.022318601825271952,0.012305153016949677,0.006484251301969379,0.03270650413503341,0.03749079377603936,0.013482770124396934,0.037201460249988466,0.09050269490207126,0.023429767541615496,6.888522777478295e-05,0.04178072545717916,0.15234773035026578,0.030826295816360795,sis
