,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score,well,protocol
0,0.04577110947292336,0.06282250531314221,0.023666602161137022,0.02220511131944145,0.011973780960213377,0.006497237744373237,0.032682114595114685,0.0370181926466697,0.013668074631975835,0.03843608167899488,0.0908189258884779,0.023398622559891183,6.8737812900109e-05,0.0417973168548571,0.1523756602346571,297.44265976972554,1343,297.44265976972554,6,hhbrute3gstep
1,0.04578845509078478,0.06283177758314863,0.023668100263545128,0.02221336502552555,0.011967474507686591,0.006497236433916001,0.03268215637843417,0.03701186587932966,0.013664735329133471,0.03843377865431294,0.09081900392188944,0.023398577551477805,6.873735772771194e-05,0.04179737617527232,0.1523757879248944,297.4426598091359,1168,297.4426598091359,6,hhbrute3gstep
2,0.04578557090795718,0.06283179681713734,0.023668725705517514,0.02221405805350356,0.01196715233769881,0.006497204493157557,0.032682239162186884,0.03701392898390097,0.013663947735307954,0.038434575526928576,0.09081844661474323,0.02339852426253336,6.873621235445185e-05,0.04179750055423875,0.15237545523520651,297.4426588656753,1444,297.4426588656753,6,hhbrute3gstep
3,0.04575318579509045,0.06281605275682763,0.02366717595015642,0.022194259071015337,0.011982615517089387,0.006497224966058212,0.03268212211874006,0.03701870411616557,0.013669453411774621,0.03843444800795346,0.09081880195275126,0.023398630449482313,6.873896831405435e-05,0.04179718716388992,0.15237558861480452,297.44265795549205,1605,297.44265795549205,6,hhbrute3gstep
4,0.045786732030008125,0.06283111613075676,0.023668379548347534,0.022212604959667055,0.011968015291111387,0.0064972190285982265,0.032682152964607865,0.03701346424103452,0.013665050261573379,0.03843361742843917,0.09081851587586921,0.023398579648361676,6.873723250722562e-05,0.04179737828339216,0.15237544282805865,297.44265882785595,1381,297.44265882785595,6,hhbrute3gstep
5,0.04575271734476106,0.06281613286554431,0.023666968555382997,0.02219564219838261,0.011982261561707603,0.006497219998337328,0.03268216383966119,0.03701959494190432,0.013669012373978773,0.03843482437408158,0.09081872399407943,0.023398530589242864,6.873840952464391e-05,0.04179724560506067,0.15237572740797975,297.44265945825566,1367,297.44265945825566,6,hhbrute3gstep
6,0.045751712570345576,0.06281635164358138,0.02366761772042108,0.022193801665734997,0.011982532643287254,0.006497238532851612,0.03268210480793515,0.03702364966497009,0.013670756414520608,0.03843387582869286,0.09081892906586815,0.02339858975013114,6.873895433753058e-05,0.04179719830103606,0.15237569708650253,297.4426590488453,1084,297.4426590488453,6,hhbrute3gstep
7,0.045750347802396084,0.06281683848874442,0.0236680104648331,0.022193741920622956,0.011981079576676592,0.006497192866168297,0.0326822122553534,0.03702842265413035,0.013671609702783161,0.03843474882148697,0.09081828983467777,0.023398587043731402,6.873867855462322e-05,0.04179720193976114,0.15237545331954522,297.44265755283635,1540,297.44265755283635,6,hhbrute3gstep
8,0.04575119233478808,0.06281597411482595,0.023666867353881637,0.022195777728370687,0.011980912630067559,0.0064972026857715625,0.03268213172991408,0.037022107754366256,0.013669520979549519,0.03843625389907235,0.09081845533863896,0.023398645936708998,6.87379705462904e-05,0.041797301924480515,0.15237557554818798,297.44265952430123,1206,297.44265952430123,6,hhbrute3gstep
9,0.045789174026750507,0.06282999082338653,0.023667964329594542,0.02221330873605715,0.011967582170295553,0.006497170135326848,0.032682157267092476,0.03701131503985418,0.013664727349445155,0.03843457315573861,0.09081810426045808,0.023398586061371126,6.873837153829708e-05,0.04179726115326885,0.1523758275822988,297.44265868586837,1438,297.44265868586837,6,hhbrute3gstep
