,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score
0,0.001954629273516142,0.05415467072506224,2.965278856856774e-05,0.04875603354789781,0.09615542261233338,0.02304064852555339,0.006883400144137379,0.03140963124086657,0.15762727141694025,2555.2813486221926,540,2555.2813486221926
1,0.00195459065529667,0.054155975557698764,2.9654407645177692e-05,0.048755522133453986,0.09615734590189941,0.02304033622944308,0.006883686470880652,0.03140937913821834,0.15762781045679597,2555.281355437609,654,2555.281355437609
2,0.0019546955016245602,0.05415611961923828,2.9653762409778433e-05,0.048755774518392185,0.09615954142191976,0.023040100008530687,0.006883907493697455,0.03140898046161571,0.15762819313539378,2555.2813527905655,804,2555.2813527905655
3,0.0019545974596188458,0.05415835812399943,2.9652537169529988e-05,0.04875604982128324,0.09615781735272765,0.023040852723612018,0.006883708831630872,0.031409116261388814,0.1576264858173942,2555.2813575642613,804,2555.2813575642613
4,0.001954584871137762,0.054158770934116626,2.9653042975150933e-05,0.048755920509428015,0.09616049205481714,0.023040591873359585,0.006883955127135512,0.031408865635013494,0.15762748968114795,2555.2813184767533,809,2555.2813184767533
5,0.0019545819440533927,0.05415584065112453,2.9653091897213775e-05,0.04875601338080658,0.09615901302014511,0.023040549401125016,0.006883703982245343,0.03140904815363575,0.1576288205841566,2555.2813463464136,802,2555.2813463464136
6,0.001954515663548548,0.05415606902602016,2.965121103972963e-05,0.04875647636516904,0.09615764686251532,0.023040520050899977,0.006883603361069925,0.03140927787845661,0.1576279790931939,2555.2813484827516,806,2555.2813484827516
7,0.0019545619803511857,0.05415714587824332,2.9652100999887944e-05,0.04875615616142466,0.09615652909192389,0.023040382250795927,0.006883674956960174,0.03140914956276074,0.15762718624962826,2555.2813550735295,573,2555.2813550735295
8,0.001954608013441166,0.05415535910030272,2.9656203071268418e-05,0.048754984782470284,0.09615640015012156,0.023040824128293738,0.006883612333037202,0.03140921336269869,0.15762693083722232,2555.281327392804,659,2555.281327392804
9,0.001954711959285439,0.05415689136733394,2.965629724354194e-05,0.04875503410464004,0.09615816591244986,0.023040989632426193,0.006883627047057846,0.03140905615521883,0.15762854171823007,2555.2813410566932,633,2555.2813410566932
10,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.15762847317276313,,540,
11,4.9618622392872905e-06,0.026529498144259967,8.470448676777542e-07,1.607711127113315e-06,0.0015306428517248038,0.0006688905039320013,1.3075875914967706e-05,1.5463232304014434e-07,0.15762847317276313,,654,
12,0.005094588391337422,0.00028400626837101563,2.8540814218992082e-05,0.02138041620260544,0.0001521936342620458,0.0001067230323922453,1.1184904538457372e-06,2.0821902674213323e-05,0.15762847317276313,,804,
13,2.0782730182165117e-05,0.0001210848049670852,0.0040902007431116785,0.09144559691743714,0.007520561976146903,0.003724511019588356,4.0809069203017105e-05,1.5054784261162552e-06,0.15762847317276313,,804,
14,4.138738290213514e-07,0.0010123158146195046,8.233251229025415e-05,1.205551138163336e-06,3.159430666887624e-06,1.83638579788423e-07,2.4859255999578024e-06,3.738322266715278e-07,0.15762847317276313,,809,
15,0.0007228488927051521,4.509745002342131e-05,3.172013564882307e-07,0.00014229288858480174,0.021429209894152507,0.00014486666487997394,0.0004048103265079128,0.06555445025289051,0.15762847317276313,,802,
16,0.0003869570392657907,4.428074715286386e-07,6.1887401553038085e-06,1.6100491864406134e-06,2.74788935357403e-07,0.004304915557528099,5.35495374738905e-07,0.00031021688980301777,0.15762847317276313,,806,
17,0.0005692870302465052,0.012365852137770429,0.0006053996080817714,0.0042778923351021805,6.000104938155289e-06,0.0007494878113391777,0.0032818533903539162,0.000764638489754661,0.15762847317276313,,573,
18,2.7563741473645924e-07,1.1807139587168935e-07,1.1700674512269656e-07,0.07708744689011159,0.044787540746227324,6.687899228169444e-05,0.0019764000252921153,1.6152495399593552e-07,0.15762847317276313,,659,
19,0.009425722779023982,0.07941024719217946,3.537215136675176e-05,6.531663408958566e-05,0.029109115777121185,0.04365297044583893,2.7204398660939488e-05,5.276377787452011e-05,0.15762847317276313,,633,
