,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score,well,protocol
828,0.0009415960911263594,0.08411876439723247,5.000040244383351e-05,0.0443600140112921,0.10696403733222283,0.01944717839485202,0.008144734792985213,0.029506262721532554,0.1607425290339303,516.3136781052177,866,516.3136781052177,9,longap
829,0.0009411622964844537,0.0841465226810718,4.994899769216894e-05,0.04436842197137493,0.10701376419171142,0.019443269838215673,0.008147987826989191,0.029505831254858006,0.16073948354263384,516.3136278175635,1116,516.3136278175635,9,longap
830,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.1607448229241514,,706,,9,longap
831,2.8670216546459947e-05,3.942620109456776e-05,4.965139155524971e-07,0.0002374736045011121,3.9307694080332164e-07,0.006939160812349698,5.478457677010738e-07,8.004611711511329e-07,0.1607448229241514,,744,,9,longap
832,2.7875849771793984e-06,7.946670967989456e-07,0.07984446826945953,0.03953389292676186,0.00010916208532632044,0.0020582017110195544,8.568655112898098e-06,0.0031264827540630103,0.1607448229241514,,1022,,9,longap
833,0.001137983018388632,3.0018452644305073e-07,2.5133567143338553e-06,0.0008308208602017507,2.5401036293172982e-05,0.029103219106465752,2.4474049037335675e-07,0.0008051327220630897,0.1607448229241514,,1222,,9,longap
834,0.00047632057277602894,1.0141400942453623e-07,2.6077107437418243e-05,1.0912491286808859e-06,1.7022741359787958e-06,6.0513797331971045e-05,0.0004449096948724454,1.5301137779031495e-05,0.1607448229241514,,736,,9,longap
835,2.6829021495084596e-05,0.000604396887160976,0.09230444736217,3.356531502945747e-07,2.9493248643579805e-06,0.0006995963055060592,0.00023058879215170314,0.001262925433976869,0.1607448229241514,,672,,9,longap
836,0.0002828268445827485,1.4952756573872211e-06,0.0027410987998226417,0.02444039023954232,1.2432552148099166e-07,0.0003915861145489846,0.01597434419108974,0.00048358651636588396,0.1607448229241514,,517,,9,longap
837,0.029157009680252994,0.06120701985096433,1.5005381366830215e-05,0.016941011665452123,0.07718991321424354,0.0020891976067236176,0.00022373020026172116,0.001346196445721236,0.1607448229241514,,1167,,9,longap
838,0.005363015751136738,3.339892433674876e-07,0.0007527108266831954,0.034076606381324474,0.04681249604593427,0.0012698616641662643,6.0914496154218845e-05,1.0898194654418545e-05,0.1607448229241514,,866,,9,longap
839,0.028924545129816664,9.380186617238241e-07,0.015658482507689035,0.01349390207855625,2.373422597176658e-07,0.0001108469629819679,0.024347372239868437,0.008689680799946142,0.1607448229241514,,1116,,9,longap
840,0.001954768971911805,0.0541840064710872,2.9710078138540145e-05,0.048739557027055624,0.09615873313004321,0.023043254757139798,0.006881081097626725,0.03141738508067121,0.15763470663509657,2552.953045026855,1204,2552.953045026855,7,wangbrute3gstep
841,0.001954761130740157,0.054185640053285355,2.9709465439611816e-05,0.04873980156210767,0.09615777303666384,0.023043089377574752,0.0068810795423049345,0.031416976456919536,0.15763573058761582,2552.953089808211,672,2552.953089808211,7,wangbrute3gstep
842,0.001954792449625948,0.05418511998115763,2.971119265168138e-05,0.04873929788686043,0.09616124865413417,0.023043277278803714,0.0068813245415904525,0.031416766697427524,0.15763641957184174,2552.9530934696836,656,2552.9530934696836,7,wangbrute3gstep
843,0.0019547557989663474,0.054185826032577857,2.9709886918253426e-05,0.04873968399327703,0.09615975588799923,0.02304358330897602,0.006881020757242325,0.03141736922748486,0.1576357508256215,2552.9530639844947,964,2552.9530639844947,7,wangbrute3gstep
844,0.0019547924666178966,0.05418449432299468,2.9709457808913103e-05,0.04873976257056213,0.09616166393904008,0.023043412390455386,0.006881403514388764,0.03141665311534948,0.15763501914767528,2552.9530406971257,991,2552.9530406971257,7,wangbrute3gstep
845,0.0019547437249395386,0.05418488658814534,2.9708667554215997e-05,0.04874002302272693,0.09615765133595276,0.02304316022669827,0.006880998953489259,0.03141746921230514,0.15763475612235406,2552.9530832011396,596,2552.9530832011396,7,wangbrute3gstep
846,0.0019546898660786657,0.05418706419578595,2.971073808671492e-05,0.04873944768041679,0.09615727744417422,0.023043647303058745,0.006880882355789097,0.03141712007918586,0.15763643501164643,2552.9530859363663,528,2552.9530859363663,7,wangbrute3gstep
847,0.0019547492677892396,0.05418396623451958,2.9709490973205193e-05,0.04873977464342395,0.09615929614337107,0.023043193409118975,0.006881151819086873,0.0314172546681327,0.15763510022417565,2552.9530896683273,625,2552.9530896683273,7,wangbrute3gstep
848,0.001954754463096133,0.05418298978925172,2.9710496212323305e-05,0.04873946965632703,0.09615551645610343,0.023043331202040853,0.006880802303879381,0.031417627965219894,0.1576346216086232,2552.9530834769607,572,2552.9530834769607,7,wangbrute3gstep
849,0.0019548707031287155,0.05418530188934656,2.9710641618377682e-05,0.04873944136070109,0.09616174760095116,0.023043543742523,0.0068814114608432495,0.03141664834901762,0.1576350857997938,2552.9530996060644,495,2552.9530996060644,7,wangbrute3gstep
850,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.15763641266142106,,1204,,7,wangbrute3gstep
851,7.134825429861184e-07,3.980452663196494e-06,2.8041422630478806e-07,7.114275657435151e-07,0.01683608563712457,0.00036756678411778524,0.00015274914783367058,0.04778704623488213,0.15763641266142106,,672,,7,wangbrute3gstep
852,0.06820319068786057,0.002018406596353745,1.4322057309220498e-05,3.885536428018019e-06,9.404430451469313e-06,0.00032881739487625243,3.9718844511700054e-05,1.5084803103331448e-06,0.15763641266142106,,656,,7,wangbrute3gstep
853,1.1659236838105703e-06,2.623067157176191e-06,0.00023059360636695976,0.004563068622860273,0.01272878221945276,4.860238481326564e-06,0.0024463854814277763,0.00053151624784787,0.15763641266142106,,964,,7,wangbrute3gstep
854,2.841816322822996e-07,2.6800143215352562e-05,0.00013439301055347784,8.280311333329745e-05,6.055636145126398e-05,0.00023821744396085057,0.002011004182592429,8.01457663155577e-06,0.15763641266142106,,991,,7,wangbrute3gstep
855,0.021459409694123882,1.511022256416717e-07,0.07711014301777656,0.02295325583958734,3.1071692998290523e-06,1.9124477273153e-05,6.593148661978e-07,7.736244853507948e-07,0.15763641266142106,,596,,7,wangbrute3gstep
