,well,fitting_protocol,validation_protocol,score,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,protocol
0,6,hhbrute3gstep,hhbrute3gstep,0.09413929354411656,0.0016139315198997351,0.07268807170540346,1.9285665672299857e-05,0.05218995088796832,0.11016705021627683,0.02312148055494438,0.008878724459878072,0.029500002872701877,0.15307438061243733,0.09413929354411656,hhbrute3gstep
1,2,hhbrute3gstep,hhbrute3gstep,0.09412385549581265,0.001613359057715953,0.07262033814028455,1.9287149193857833e-05,0.05218900188246402,0.11015282295419158,0.023114877112451214,0.008875178573399563,0.02950053870530158,0.15310929344824534,0.09412385549581265,hhbrute3gstep
2,1,hhbrute3gstep,hhbrute3gstep,0.09418633372520563,0.0016124261628884147,0.07267757783539519,1.9267362569023e-05,0.05219797118283134,0.11027566546618002,0.023107405962919686,0.008890168984726264,0.029494866944119024,0.15309253049445076,0.09418633372520563,hhbrute3gstep
3,7,hhbrute3gstep,hhbrute3gstep,0.09407475046338074,0.0016140171156030483,0.07266474436301737,1.927955849826808e-05,0.05219566794372966,0.1102145134582941,0.02310786149102074,0.008877230808492953,0.029496948457596508,0.15315129224024462,0.09407475046338074,hhbrute3gstep
4,0,hhbrute3gstep,hhbrute3gstep,0.09415095930743714,0.001612745142613367,0.07266444897004798,1.9291349824641462e-05,0.0521898049725677,0.11015497952585807,0.023110544464200057,0.00887737072285832,0.029501151113157417,0.15311819174867994,0.09415095930743714,hhbrute3gstep
5,3,hhbrute3gstep,hhbrute3gstep,0.09416718926937974,0.0016128899476087477,0.07267638688982073,1.9263602362418305e-05,0.05219946369132678,0.11021899556290006,0.023109897663973672,0.008884891210433031,0.029493666078488148,0.15309676640312506,0.09416718926937974,hhbrute3gstep
6,5,hhbrute3gstep,hhbrute3gstep,0.09412240643832966,0.0016137014369481562,0.07266764666492821,1.92982843808301e-05,0.052184552307174635,0.1101190909539338,0.02312124329446907,0.008874647785575507,0.029500009049909258,0.15308688857392008,0.09412240643832966,hhbrute3gstep
7,9,hhbrute3gstep,hhbrute3gstep,0.09414653064355752,0.0016116900719960268,0.07265643332257128,1.928892018114764e-05,0.05218892238900485,0.11023382536944168,0.02310024754679284,0.008884842362406145,0.02950648880206495,0.15312271624196194,0.09414653064355752,hhbrute3gstep
8,8,hhbrute3gstep,hhbrute3gstep,0.09423085097056257,0.001612955777388901,0.07264678247015215,1.9253209013933416e-05,0.05220296935559749,0.11017452661015059,0.023103091572928107,0.008881739865145347,0.029501939168695472,0.15307511274011742,0.09423085097056257,hhbrute3gstep
9,4,hhbrute3gstep,hhbrute3gstep,0.09415370559330753,0.0016135631040505264,0.07264923416038674,1.928002956506292e-05,0.05219105958325148,0.11020086147935362,0.023114437285560355,0.008883209968391608,0.029495893914689656,0.15308202342304802,0.09415370559330753,hhbrute3gstep
