,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score,well,protocol
1111,7.153171508361697e-07,4.948718012361481e-05,0.0023975183427035617,9.978449341306302e-06,2.7388441909333192e-05,1.0914964868139318e-07,0.06075150360424743,0.002768099577102698,0.1524,,867,,9,wangbrute3gstep
1112,2.8091889176129797e-07,2.034977122916923e-06,0.000721217121185384,0.02990597681547855,0.001603445573499297,1.2316485929093684e-05,0.00020078386410235527,0.004144506868003837,0.1524,,847,,9,wangbrute3gstep
1113,0.0024592879477243197,0.008401566050204456,2.656020757556079e-05,5.866967726048248e-07,0.00020286436031985894,0.006328056481733392,0.0001313092910832946,0.02804426086053352,0.1524,,1021,,9,wangbrute3gstep
1114,1.3734239857775838e-06,3.3074220837954013e-06,7.177393280092475e-05,2.2693584090793806e-06,7.109506331169358e-07,4.3050634845075805e-07,0.03031906990443564,0.004015872068258589,0.1524,,661,,9,wangbrute3gstep
1115,5.315444679435249e-07,1.1620765194203933e-07,0.0031610244218327347,0.0002691615143728104,2.5291514512342576e-07,0.0006507855764359733,7.54860179815081e-05,1.3678904035591075e-06,0.1524,,885,,9,wangbrute3gstep
1116,0.026892627036198644,9.359513477759712e-05,0.000506850290761463,3.3280339401550694e-05,0.006943260597553978,3.790319154215418e-06,0.0008150063824193979,1.9377322809498728e-07,0.1524,,668,,9,wangbrute3gstep
1117,0.03155627284622881,0.00021308554154972313,0.046130118408099066,1.3036069378214902e-07,3.918776706095043e-06,5.749956843863065e-07,0.00013525477365333434,0.08736422266338492,0.1524,,1161,,9,wangbrute3gstep
1118,8.329830292292431e-05,9.956031546005722e-06,9.887410818268472e-05,0.0002591702516496956,0.04687448719639131,0.00677601695190462,0.010998869604723408,5.576296731001685e-07,0.1524,,692,,9,wangbrute3gstep
1119,3.7663090162844545e-05,2.6699516652934105e-07,1.902123775771339e-07,0.0007965878441630195,0.003132250735405425,3.048491504432609e-07,0.0028974083639177837,3.7886786037958914e-05,0.1524,,943,,9,wangbrute3gstep
1120,0.0016902123650392971,0.036836766893588335,4.286329950542694e-05,0.04593828129928823,0.09344977124523925,0.021754064178828723,0.007379817982032677,0.02970454254783623,0.16357404931504896,1685.3478274780193,723,1685.3478274780193,4,spacefill19
1121,0.0016902670274572026,0.036838113891121176,4.286267642092951e-05,0.04593829094398813,0.09344938723902897,0.02175423485538907,0.007379928460138803,0.02970480801853774,0.16357076093851114,1685.3477976476127,886,1685.3477976476127,4,spacefill19
