,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score
0,0.0016838053163951354,0.08427354412782026,2.2136914434614512e-05,0.051169818715055035,0.12150453967484699,0.026773256506537356,0.008899322125512478,0.028913944296768312,0.15432255976602804,642.7475582471999,513,642.7475582471999
1,0.0016837726347159786,0.08427519423592751,2.2135635220624847e-05,0.051170630564461785,0.12150394469010216,0.026773975789274613,0.00889902748526972,0.028913516161301195,0.15432567886928406,642.7475060594422,1168,642.7475060594422
2,0.0016838142047259682,0.0842758987344645,2.212938885396636e-05,0.05117260676943381,0.12152016787033681,0.026772142467278118,0.008900728727896053,0.02891400592253891,0.15431860955983548,642.7475934790197,802,642.7475934790197
3,0.0016837483033295985,0.08427445317043719,2.2136334467688208e-05,0.051170078390735695,0.12150415000684217,0.026774106363121653,0.008899310976371758,0.028913075937015795,0.15432298234272823,642.7475159587889,910,642.7475159587889
4,0.0016836673377932786,0.084270271888951,2.2138955104604926e-05,0.051169209664450904,0.12149056774114377,0.026773082186198463,0.00889829731966924,0.02891434763271058,0.15432408868376213,642.747540593399,583,642.747540593399
5,0.0016837659432356966,0.08427429826924213,2.213659620897446e-05,0.051170243639381954,0.12150278725972423,0.026773654322154464,0.00889925144378115,0.02891298483653667,0.15432405121322545,642.7475332061065,538,642.7475332061065
6,0.001683760691375204,0.08427492679346962,2.213580222927244e-05,0.05117033712604452,0.12150232543838266,0.026774215832664778,0.008899223345095315,0.028913216497213155,0.15432211905649768,642.7475052229369,1324,642.7475052229369
7,0.001683808455219176,0.08427468890516017,2.2135194614945166e-05,0.0511705702079672,0.12150211184752613,0.026773903189998165,0.008899214494595246,0.02891329621282414,0.15432188144740142,642.7475362819436,488,642.7475362819436
8,0.0016838177161779707,0.08427474249074056,2.2137099673797826e-05,0.05116997716642634,0.12150471538821865,0.026774282525038905,0.008899181874424745,0.028913178096287646,0.1543245374093926,642.7475212020353,997,642.7475212020353
9,0.0016837812643368856,0.08427455617080917,2.2136024887409902e-05,0.05117028566363586,0.1215032416742406,0.026773889083641634,0.00889922195914016,0.028913235879686493,0.15432198182969697,642.7475260438569,666,642.7475260438569
10,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.1543238387755224,,513,
11,0.009500840706404536,2.147753869177436e-05,6.064930133102305e-07,0.013581995869846462,0.0004906867658571062,0.0003658344419219468,0.000640514576348327,0.000925859838901054,0.1543238387755224,,1168,
12,7.318809709939066e-07,7.313908151782313e-06,8.923940141766913e-05,2.47776366072593e-05,1.882461277970385e-07,0.011385923605763645,0.010931480351413015,6.652019297508615e-05,0.1543238387755224,,802,
13,0.022642711422979335,1.5213607875325635e-05,0.05410101074535706,1.4204164155558812e-05,2.1404884800155273e-05,0.001421209973435949,0.07902442477873617,0.027879948866963353,0.1543238387755224,,910,
14,1.1111614701863574e-05,3.057572826118343e-07,0.004601856786472366,0.0033939881173467783,0.005263779908573601,2.5422476799216605e-07,3.3598563492828524e-07,4.379086274851409e-06,0.1543238387755224,,583,
15,2.5283597395485688e-05,0.030124038643766084,4.886873916100376e-06,2.16773224334982e-06,0.0001276771194456874,0.06996713945604596,0.011911036897322947,0.00017378200609620987,0.1543238387755224,,538,
16,7.945421136208785e-05,0.032887462373201636,2.0060127533611585e-05,1.332727220171363e-05,0.002455159283347856,7.641355685185985e-05,1.1908008030902742e-06,0.06794014949912193,0.1543238387755224,,1324,
17,0.017089862243541417,0.0007167776373877948,1.1677376095761625e-07,1.366747042175612e-07,5.616394158246989e-07,2.708709116754837e-06,6.01797777365624e-07,0.043296106681793775,0.1543238387755224,,488,
18,0.0004404895682259268,1.1639924754584527e-07,0.024908711399388668,0.0358309459959054,4.336642007894011e-05,0.00010070973996972506,1.3674934144824978e-06,0.0010801903857030459,0.1543238387755224,,997,
19,1.9364086680811244e-05,1.492139117075777e-06,3.1480725316612252e-06,1.8414473227230093e-06,1.1485448235136938e-07,0.014360722852589712,1.575723287180163e-05,1.2079419992677148e-06,0.1543238387755224,,666,
