,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations,score
0,0.0016877545597055498,0.036819356326800175,4.2779526632044334e-05,0.045954483277465104,0.09339587319129716,0.021760359415876576,0.007376589228559687,0.029704849922805643,0.16356399532640972,1682.5321724638252,548,1682.5321724638252
1,0.0016878094269448022,0.036820609442433656,4.278050961302322e-05,0.045954051241047546,0.09339661032965545,0.021760089443675443,0.007376803312901077,0.029704784466385498,0.163561344095907,1682.5321518901526,572,1682.5321518901526
2,0.0016876528920164357,0.036820498634033416,4.2778659864236e-05,0.04595466724079477,0.09339501882491037,0.021760355593200154,0.007376466542792551,0.029705292144177775,0.16356401293689515,1682.5321408717964,715,1682.5321408717964
3,0.0016875465131472396,0.03682130605448807,4.277706274529971e-05,0.045955109058233815,0.09339441704924915,0.021760280897667992,0.007376336919342819,0.029705133632589833,0.16356527906186025,1682.5321647969768,680,1682.5321647969768
4,0.0016877989986557262,0.03682046091291244,4.2782796923444544e-05,0.04595396112654906,0.09339533961355326,0.02176023322228636,0.0073764578450730926,0.029704906162496783,0.1635654729090334,1682.5321221025604,1072,1682.5321221025604
5,0.0016876193469107595,0.03682054600712277,4.277988701059026e-05,0.04595439278810676,0.09339444313048352,0.02176016930033231,0.0073765746962956725,0.02970487869642439,0.1635640260497274,1682.5321538855364,620,1682.5321538855364
6,0.0016877469765352213,0.036819820652060534,4.2779837301532136e-05,0.045954353498060437,0.09339576564777127,0.0217599804398351,0.007376669209166129,0.029704984399872725,0.1635633110396436,1682.5321568861973,705,1682.5321568861973
7,0.0016876730884416687,0.03681992965201011,4.2778316413533405e-05,0.04595483646560882,0.0933958705269208,0.021759935754780812,0.007376680978942112,0.02970488141712239,0.16356492855273783,1682.532158564899,808,1682.532158564899
8,0.0016878097575623837,0.03682033968216043,4.277915631045144e-05,0.045954522280809734,0.09339813704031426,0.021759665101567963,0.007376831955903581,0.029705079632312816,0.16356258550754701,1682.5321248724806,579,1682.5321248724806
9,0.0016877597535887815,0.03681943574545207,4.2780951544288005e-05,0.045954338250666193,0.09339502506037055,0.021760096208791945,0.007376407858651604,0.029705195570349018,0.1635657459245384,1682.5321718342825,532,1682.5321718342825
10,1.9887543461186184e-07,0.0004848573440884817,0.060060845360397346,3.905509810856547e-06,1.7361470911988398e-05,5.084613785994192e-05,0.004719766590513856,0.010379969339376438,0.1635616723482068,,548,
11,2.565155211825435e-06,0.0035316269430203055,1.3416539384157168e-07,0.0036040585212316727,1.2213934257046367e-07,0.008312586871673616,0.0001489384027926072,0.006733907032831715,0.1635616723482068,,572,
12,7.575598387359571e-05,0.0073059748292830145,0.005048111500275838,4.403758823730903e-07,0.0010395217144549582,3.266266891757182e-07,0.006215261938457792,0.0007988556095426385,0.1635616723482068,,715,
13,2.1456588983506192e-05,0.06909767251660653,2.8655403189154073e-05,0.00016793155605615142,2.738088503657464e-07,0.012657168016021509,1.5781921179442083e-05,4.9292391584933426e-05,0.1635616723482068,,680,
14,5.68685563583515e-06,2.963837970793591e-05,3.4816549126588336e-06,7.951659663323413e-05,0.07490895596720913,0.0005819365691291375,1.696104150574444e-06,0.0013120352997795376,0.1635616723482068,,1072,
15,4.349117761140993e-07,8.11895254289477e-05,1.2737086901441318e-05,0.00023474770352362615,1.554687710201729e-05,0.005182764420502177,0.018503832040565237,1.1229985117162278e-05,0.1635616723482068,,620,
16,0.05082806016982753,0.09665613681089386,0.09757897095178926,0.001004281263975842,0.05410765125057397,0.00741347780143771,0.0006238029730695093,9.247572947461547e-06,0.1635616723482068,,705,
17,0.01668321919798876,6.684882768554029e-07,1.3581727385102693e-06,1.8046894811410616e-06,0.00037129875730234176,4.327922639725537e-06,1.552451890608272e-07,5.379809351784673e-07,0.1635616723482068,,808,
18,5.574588333253832e-07,3.825687474577656e-05,1.5048978765665598e-07,3.3766818111821454e-05,0.0011576775245998702,3.839573673579961e-06,0.023244784679491596,2.047382662514585e-06,0.1635616723482068,,579,
19,8.125067997663206e-05,8.32688414120722e-06,5.054528031513317e-07,5.907596933583947e-07,1.7382353673621716e-06,0.0029892390381849854,0.009507392435379448,7.250805304706406e-06,0.1635616723482068,,532,
