,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score
0,0.050737635776771865,0.06494242956865477,0.024055748438761772,0.024613157276295324,0.00997842599076246,0.006498529123087771,0.03269547204454968,0.036483095885960326,0.013124587590026153,0.03815001523122907,0.0908043053362096,0.02337249902200755,6.855445079205292e-05,0.04182046091335153,0.1523713372715316,139.6638551136149,1280,139.6638551136149
1,0.05086152063705909,0.06498832480498042,0.02405483650171266,0.024673979772540773,0.009932487068272546,0.00649854388233383,0.03269558468727907,0.036447640868637325,0.013111476741975327,0.03814919854750914,0.09080496110164328,0.023372368545335146,6.855377116115768e-05,0.0418205514753079,0.15237197212298176,139.6638560529615,1418,139.6638560529615
2,0.050698978903523366,0.06492847166373647,0.02405669232700763,0.024594117964892435,0.00999297573970459,0.006498555839123343,0.03269544249987691,0.036493807309096245,0.013128351261602044,0.03814979383429527,0.09080436515475471,0.023372452707903387,6.855439979217274e-05,0.04182045534399675,0.15237110516836025,139.66385516279414,1340,139.66385516279414
3,0.05071286622655042,0.06492574369460588,0.02405096423834246,0.02459101493190452,0.009986399223216395,0.006498572249829755,0.03269525274301388,0.036491413666454635,0.013135344463194707,0.0381567919159464,0.09080517859828864,0.023372612225243252,6.855625045517532e-05,0.04182024751920715,0.15237169765667824,139.6638549086958,1242,139.6638549086958
4,0.05070660668008199,0.064925560980812,0.024056429516636283,0.024583935679133015,0.00999923138899309,0.006498555690276766,0.03269533800461495,0.03650080710977322,0.013136795437778669,0.038142343490210284,0.09080478303867952,0.02337258039842036,6.855952249408526e-05,0.041819915520556174,0.1523714836822385,139.66385505227208,1374,139.66385505227208
5,0.050663813071404974,0.06491028524000023,0.024052299830996906,0.024563881110795393,0.01001182451933364,0.006498535587825511,0.0326954601677877,0.03651177572317071,0.013143347262625112,0.0381462244166156,0.09080469605889738,0.02337246458593625,6.855878048430917e-05,0.04181998283823058,0.15237148784535615,139.66385604580447,1580,139.66385604580447
6,0.05068875379525203,0.06491287944312553,0.024048773803353195,0.02457136466115079,0.009998128901454557,0.006498585705054256,0.03269533961123311,0.03650010352212285,0.013143480921912342,0.03815644199795839,0.09080507706579326,0.023372690514338285,6.855821410056638e-05,0.041819998474870924,0.15237082893329676,139.66385574787947,1672,139.66385574787947
7,0.05069665621737239,0.0649290216162968,0.024054936126586206,0.024593404134285922,0.009990640938002166,0.006498539008330052,0.03269544224570112,0.03650227618689754,0.013132019851399255,0.03815227322798958,0.09080469581350212,0.023372540044361262,6.855479900798885e-05,0.04182043397230764,0.1523713674008406,139.66385497435869,1733,139.66385497435869
8,0.05073210601211581,0.06493626135319401,0.024052297709599497,0.024605791907476977,0.009982988518799646,0.006498518335962832,0.03269544697649808,0.036485652108742994,0.013129919110832574,0.03815091703810209,0.09080431701871045,0.023372511240663203,6.855617197009494e-05,0.04182024842551036,0.15237135737112742,139.66385587553873,1153,139.66385587553873
9,0.050730051039509984,0.06493587785030899,0.024050376295112367,0.024603237800404586,0.009985408509635736,0.006498552351069794,0.032695434257457516,0.03648815884187474,0.013132641131857876,0.038148722368926975,0.0908048125841705,0.02337248609558178,6.855686022104721e-05,0.0418201912640593,0.15237138040671208,139.66385535042767,1301,139.66385535042767
10,0.006807895433315995,1.5038266885890834e-07,0.003011989021234291,4.678755026331075e-05,0.00021292839447727735,0.0009895686892035516,0.09649613524567063,0.004221158128167433,0.0001863995636788274,2.1326216367781903e-07,0.0004148065683293426,0.028994092245689277,1.1345386608050097e-06,0.014795747835188226,0.15239877392725557,,1280,
11,4.717478474815328e-06,1.074864097040694e-05,0.0004902678052729195,0.05210775149846817,0.00014832718609201944,0.00028358820304800114,0.0005836557627806306,0.020437478365984026,0.0007387499968117591,0.025607211059936436,4.430873813009053e-05,6.281628782487418e-05,1.9500214882724783e-05,0.00019643976098266539,0.15239877392725557,,1418,
12,6.352859200187564e-07,8.449293126721494e-05,0.00014438836567942726,1.585767224136409e-07,1.1624289450048532e-06,0.0003250801000787377,0.017047747568134125,9.646157795063444e-07,0.029723140360318548,0.00010255461237217026,4.2108186843261536e-05,0.032964027969185454,1.0994149383485392e-07,4.208480248187008e-07,0.15239877392725557,,1340,
13,3.1473245084029496e-05,3.4833880945489944e-06,0.09494647707298033,1.7701244177469672e-05,2.51454644370609e-06,5.568488692346379e-06,0.03368452800679324,0.00013103599443944702,6.823115464645128e-05,0.0021942898739375403,1.1840468407772725e-07,0.0012462744674659927,1.0161235196464e-07,6.141677639993692e-07,0.15239877392725557,,1242,
14,0.00017924836506727864,0.0002486462743026946,3.3377556074044137e-07,0.00020353208566775103,8.856191148216074e-07,0.00022270202878872558,7.752359442133694e-06,0.0009512290502760475,0.00017231089138662042,0.038271271818906744,0.002408084112161199,0.0012912957806252292,0.007261816113516635,0.03310525728359382,0.15239877392725557,,1374,
15,0.001435394087884802,0.00012599871382068834,7.707531847110931e-05,6.510434982761213e-07,8.82119044758532e-05,6.820631714310239e-06,3.951651095541414e-06,1.643216040260179e-06,0.017564545934792813,1.3989298654345407e-06,1.730606428370132e-06,0.00011201185668436423,0.06510072611678405,5.320883881647137e-06,0.15239877392725557,,1580,
16,0.0005975636298425768,2.0115553469782842e-05,0.006128292301331695,0.022644176043635278,0.001323561746384452,0.007173460963579708,2.25762827180651e-05,0.031910642229832684,9.679045441243972e-06,0.006964275151578381,0.038802905475671494,4.365096131173239e-06,4.9539110387584466e-06,0.0024769724307177085,0.15239877392725557,,1672,
17,0.013395607472585457,0.014863810157125157,3.4544248656604e-06,1.1624846999878807e-06,0.00047064429635102097,7.139583965385215e-06,0.006283227988043484,0.008914763867813934,0.00021827355623100166,1.2233186498920822e-06,0.08589421166498862,0.00022882841418318724,3.332110192631797e-07,4.342843747800367e-07,0.15239877392725557,,1733,
18,1.630199521653161e-06,1.504566276759409e-05,1.797323337299108e-07,1.3694515370012997e-05,1.8818302254756636e-05,0.011995493396128433,0.009037311279075665,0.0013005897995119148,4.4388183485836946e-05,0.00011506590838284561,0.0079108709084255,0.0025280092457694776,3.37251551394191e-05,4.833117903229979e-06,0.15239877392725557,,1153,
19,0.012519085887663784,0.00013341906897317184,0.0007980824991755587,0.0024827905791363707,0.0013126499539897658,0.0053826191364591495,6.940961774190815e-07,1.2337102382911453e-07,3.559477289713457e-05,0.06153372755826953,1.7685570551509566e-07,0.023601255049708086,3.983613590434897e-05,1.1794497725336031e-07,0.15239877392725557,,1301,
