,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations
0,0.00021385564613479575,0.05831016179395616,2.8330283336110868e-05,0.058386933092891426,0.09425311643903161,0.00845502488643906,0.002813766945507746,0.02795444490445484,0.3048,252.88882183726798,796
1,0.00021385287619334975,0.05831267078126147,2.832890096113081e-05,0.05838754504199798,0.09427445407881382,0.008456582821778847,0.0028143883368538375,0.02795260255098421,0.3048,252.8888172540224,638
2,0.00021384581707478662,0.05831346098227579,2.8327040157327714e-05,0.05838802312996362,0.09426906983626131,0.00845536014694551,0.0028142240481508884,0.027953720164368222,0.3048,252.88881744969595,533
3,0.00021386694202522134,0.05831054920990182,2.832914639309216e-05,0.05838743049867678,0.09426952228307446,0.008457007052358733,0.002814225999619538,0.027952643683320295,0.3048,252.8888224900565,572
4,0.00021386038328933895,0.05830963452716287,2.8328859648049028e-05,0.05838745164604325,0.09425187347014756,0.008454562178323927,0.0028137108179848835,0.027954901529695392,0.3048,252.8888157181344,601
5,0.00021385084944419144,0.058313064087116756,2.832843760486109e-05,0.05838762140738079,0.09428492491424481,0.00845716023843269,0.00281471055588638,0.027952083483057485,0.3048,252.88881605207501,586
6,0.0002138627140887292,0.058311757917492366,2.8328561612931176e-05,0.05838757118595281,0.09427548134753659,0.008456227531939788,0.002814407388467472,0.027952953474452643,0.3048,252.88881148209308,709
7,0.00021386619505913933,0.058312229605388934,2.8330657276108853e-05,0.05838704346356867,0.09426226096511604,0.008456377147833951,0.002813998036034575,0.02795339282530095,0.3048,252.88880850286358,956
8,0.00021386717738825818,0.05830976353532559,2.832767820051203e-05,0.058387844486778806,0.09425782843359184,0.00845505258073528,0.0028138780634817924,0.027954278415497146,0.3048,252.88881960195607,864
9,0.0002138662026422792,0.0583120574251431,2.8327385291215157e-05,0.05838793562266263,0.09427384741413772,0.008455085460230754,0.0028143422502356526,0.027953731229913625,0.3048,252.88882662178688,890
10,0.0002138584309493929,0.05831227738820021,2.833292773347365e-05,0.05838636445728777,0.09426315309270716,0.008456986500288343,0.002814054658259039,0.027953001588217046,0.3048,252.88881690255047,1105
11,0.00021384495457019926,0.05831319221745966,2.8325847683628306e-05,0.05838830492282485,0.09427353029571921,0.008455706359051839,0.0028143743054791907,0.02795300678748841,0.3048,252.8888195809371,628
12,0.0002138478834190983,0.05831412437192502,2.8326290381973054e-05,0.058388336986397615,0.09428559816851247,0.008456918142251588,0.00281468599946257,0.027952036177736044,0.3048,252.888816642038,899
13,0.00021384951044569486,0.058313733120088314,2.8327387059272066e-05,0.05838791982504141,0.09426233454363846,0.00845479168966647,0.002814022277461668,0.027954178718991494,0.3048,252.88882623655252,645
14,0.00021386910549004164,0.0583114843158569,2.8330443631430844e-05,0.05838714010066651,0.09426696171240079,0.008457015452937944,0.002814140884020945,0.027952852952219418,0.3048,252.88881806652137,768
15,0.00021384710910423238,0.05831195080763298,2.83281608982399e-05,0.05838757770883307,0.094278000569393,0.008456576582615411,0.0028145028299163223,0.027952607791711263,0.3048,252.8888162104508,733
16,0.0002138463436888734,0.05831318974295815,2.8326440438230032e-05,0.058388075620589466,0.09427916417321247,0.008456010376937413,0.0028145048701259568,0.027952797836831616,0.3048,252.8888169625293,884
17,0.0002138581661943424,0.058311352867306585,2.8331426882399706e-05,0.05838660361835251,0.09427203838846994,0.00845686177885846,0.002814347050010171,0.02795231577833313,0.3048,252.88881532858366,529
18,0.00021385468746479522,0.058313165367855725,2.832884227495127e-05,0.058387646438473155,0.09428453912507839,0.008457214950306022,0.0028146600516856615,0.02795220963361567,0.3048,252.8888084537483,871
19,0.00021384520924043663,0.058313793166226445,2.8330867435129502e-05,0.05838690600859358,0.09427409086625617,0.008457857289462722,0.0028144002468277795,0.027951825599246177,0.3048,252.88882223404505,539
