,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations
0,0.0002246234061394959,0.0700209525492386,3.4558643240431836e-05,0.05455342321092613,0.08623182587167644,0.008971349535223813,0.00508612188123908,0.03153717199360971,0.1524,212.28744939397956,698
1,0.00022462122790314575,0.07002094515567994,3.455876074960864e-05,0.05455339573632456,0.086232452465866,0.008971314010789586,0.005086159609241916,0.03153725972026756,0.1524,212.28744940528998,596
2,0.00022462453060131748,0.07002076703990608,3.455812650579317e-05,0.05455357939630601,0.08623243087010138,0.008971461219168395,0.005086139108896601,0.0315371734334101,0.1524,212.2874484684929,893
3,0.000224626918909864,0.070020580554307,3.4559186293635885e-05,0.05455331617593054,0.08623209947202819,0.008971283445604727,0.005086146869270959,0.03153728537453225,0.1524,212.28744855778245,868
4,0.00022462723324951928,0.07002051954322173,3.4558717038989657e-05,0.05455343355686159,0.08623217229056655,0.008971276622077818,0.0050861541023648656,0.031537255014763475,0.1524,212.28744804921416,872
5,0.00022462671993939427,0.07002064404932817,3.455843419320668e-05,0.05455351149726947,0.08623192505222584,0.008971447211901202,0.005086088686604298,0.03153718707811837,0.1524,212.28744997765628,552
6,0.00022462068574281678,0.0700211064341546,3.455828039098186e-05,0.054553532014028995,0.08623218345486044,0.008971142451189032,0.005086165538319987,0.0315372362793544,0.1524,212.28744808245528,1188
7,0.00022462189969889572,0.07002091396803059,3.455820418388699e-05,0.054553523426782435,0.08623228792041161,0.008971079006981278,0.005086202030660134,0.031537181019931984,0.1524,212.28744962562675,1075
8,0.0002246219812063322,0.07002105400582653,3.455912892115509e-05,0.05455329069875959,0.08623193336790243,0.008971296712221842,0.005086127363590204,0.03153726471420917,0.1524,212.2874485697398,851
9,0.00022462677638773526,0.07002040548586412,3.45593469813344e-05,0.05455325000619293,0.08623136767961365,0.00897121821344667,0.0050861104103456815,0.03153734423223952,0.1524,212.2874491571111,806
10,0.00022462631467906426,0.0700207570235723,3.455881464066411e-05,0.0545534033323744,0.0862326008779085,0.008971290792007426,0.005086159874046442,0.03153725471579635,0.1524,212.28744877811576,645
11,0.00022462295432699116,0.07002093889796908,3.4557993017430614e-05,0.05455358719449449,0.08623198589798457,0.008971323661173421,0.005086134362726515,0.03153712091681131,0.1524,212.2874497178214,505
12,0.00022462520945058526,0.07002069943951898,3.455855695961046e-05,0.05455347288874578,0.08623224522447147,0.008971231920690291,0.005086155664151602,0.03153730434886522,0.1524,212.28744898270295,672
13,0.0002246221097491112,0.0700209389974514,3.455805200948883e-05,0.05455360533289875,0.08623225935817086,0.008971163154241374,0.005086180094548035,0.031537217878050784,0.1524,212.28744939844466,631
14,0.00022462542328611338,0.0700205897996897,3.455833803471282e-05,0.054553507327245114,0.08623228180634654,0.008971360885299769,0.00508615085614956,0.03153718843600605,0.1524,212.2874482335042,991
15,0.00022462495025052652,0.07002078300113289,3.455824588458205e-05,0.054553567560035675,0.08623197787664535,0.008971360150717492,0.005086093776225206,0.03153732738603533,0.1524,212.2874494109939,478
16,0.00022463030162852914,0.0700202536277773,3.4557860275716645e-05,0.054553631075941446,0.0862318803928128,0.008971326403498264,0.005086102767817722,0.031537210104989576,0.1524,212.28744936485018,484
17,0.00022462168293167458,0.07002117136411448,3.455817599264659e-05,0.05455354862836572,0.08623235600508926,0.008971237644208107,0.005086150476741003,0.03153723147968372,0.1524,212.2874494390318,600
18,0.00022462389761445688,0.07002087958881838,3.455832701142465e-05,0.0545535367879775,0.0862321972214822,0.00897118898627289,0.005086142680450897,0.031537361302935184,0.1524,212.28744902698904,493
19,0.00022462619249227658,0.07002044285365856,3.455892502006734e-05,0.054553362338944776,0.08623168691317548,0.008971401676940603,0.00508609903018134,0.031537235178385324,0.1524,212.2874475427383,657
