,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,RMSE,iterations
0,0.00014407251961022648,0.09898393303645366,7.11228110109896e-06,0.060168899604741505,0.07089548381510355,0.008847920855046543,0.01462623111909492,0.03925432644072373,0.0381,2062.29792848398,977
1,0.00014405459123259791,0.09898289299527865,7.109310725997344e-06,0.06017248836417462,0.07089353425233091,0.008848972759994193,0.01462663455912376,0.03925441935442367,0.0381,2062.297938378498,1092
2,0.00014406431699402487,0.09898345682559118,7.113027453880203e-06,0.06016804723859839,0.07088951420473413,0.008852795010165337,0.014625709919361162,0.03924793476182309,0.0381,2062.297972926056,1284
3,0.0001440555498035055,0.09898295074123083,7.112163992184945e-06,0.06016911131739712,0.07085686750828399,0.008857907926096028,0.014620471656151598,0.03924376957591093,0.0381,2062.2979637534468,915
4,0.00014408317026742587,0.09898454725052076,7.1175885809012404e-06,0.06016422943515333,0.07090397862133041,0.008841323704117578,0.014627490846244791,0.03925466930589778,0.0381,2062.298025250393,742
5,0.0001440255906763756,0.09898121832690195,7.104555893900685e-06,0.0601778246762313,0.07087273367922801,0.008868474201947783,0.014626218912794503,0.039228298330898664,0.0381,2062.2980496681625,980
6,0.00014402600854713203,0.09898124119862178,7.1161322170460115e-06,0.06016395187970343,0.0708244416200139,0.008855644677572175,0.014616533386618339,0.039247642896089625,0.0381,2062.2980316044263,908
7,0.0001440509876641777,0.09898268721260109,7.113406454725263e-06,0.06016787896017999,0.07085678949958696,0.008856068231092874,0.014620929151323016,0.03924699081211107,0.0381,2062.297957295968,991
8,0.00014404713742438625,0.09898246536642659,7.114413164804464e-06,0.06016612583435018,0.07084959292657335,0.008859036054166606,0.014620152885154655,0.03924544862101625,0.0381,2062.29796390829,934
9,0.0001440454471606688,0.09898236712667675,7.11155129317241e-06,0.060170068481181775,0.07089611202849408,0.008845358601064666,0.014626809398216005,0.03925459730229167,0.0381,2062.2979394011927,885
10,0.0001440474214026833,0.09898248042192768,7.112474036535896e-06,0.06016908333782282,0.07084794987316892,0.008861092647118715,0.014618539336685834,0.039245372628746174,0.0381,2062.297971904762,771
11,0.0001440461112536918,0.09898240595978278,7.114064590355199e-06,0.060166764052242076,0.07085209863151282,0.008859584956641053,0.014620672688344213,0.03924390367950225,0.0381,2062.2979597560116,997
12,0.00014405992347370295,0.09898320301522737,7.105678283777879e-06,0.0601767293447671,0.07089258170433185,0.008858024011229601,0.014626898585600592,0.03924236348375039,0.0381,2062.2979906178994,1068
13,0.00014404945225118113,0.09898259787555518,7.105453672724701e-06,0.06017699033584173,0.0708895567250673,0.008853330928853074,0.014626391504439585,0.03924751157144894,0.0381,2062.2979688123814,1011
14,0.00014404746828738872,0.09898248166043269,7.1109684369334325e-06,0.060170751278184414,0.07088316388222317,0.008848660397619506,0.014626043860740758,0.03925484578393164,0.0381,2062.29795914805,918
15,0.0001440416124208769,0.09898214560878088,7.106907178061393e-06,0.060175604966519566,0.07087964970207526,0.008850163222121246,0.014625793933148619,0.039250721193107914,0.0381,2062.298006248025,745
16,0.00014405734299683052,0.09898305555162588,7.115365192716822e-06,0.06016532461545808,0.07085248680937163,0.008859217982269706,0.01461957948989709,0.03924524298419712,0.0381,2062.2979638559514,1203
17,0.00014406020273171938,0.09898322076129329,7.115407906999638e-06,0.060165294708359074,0.07085206097763058,0.008857831674700778,0.014619072089522718,0.039244396801395576,0.0381,2062.2979645080736,1278
18,0.00014403516869822456,0.09898177198486674,7.105792628079489e-06,0.06017678877471681,0.07084593605836874,0.008864885253060601,0.014619280395303863,0.039238661740075086,0.0381,2062.297960859601,1155
19,0.00014405888695850889,0.09898312444968965,7.106303534807412e-06,0.060176628578954186,0.0708412043412076,0.008868483020237744,0.01461494701229148,0.03923449879125147,0.0381,2062.2979658102927,583
